TABLE NAME,TABLE BUSINESS NAME,COLUMN NAME,COLUMN DATA TYPE,COLUMN NULLABLE,COLUMN BUSINESS DESC,PARTITION KEY,PARTITION DATA TYPE,PARTITION COMMENT,TABLE BUSINESS DESC
SalesOrderHeader,,SalesOrderID,INTEGER,False,,,,,
SalesOrderHeader,,RevisionNumber,TINYINT,False,,,,,
SalesOrderHeader,,OrderDate,DATETIME,False,,,,,
SalesOrderHeader,,DueDate,DATETIME,False,,,,,
SalesOrderHeader,,ShipDate,DATETIME,True,,,,,
SalesOrderHeader,,Status,TINYINT,False,,,,,
SalesOrderHeader,,OnlineOrderFlag,BIT,False,,,,,
SalesOrderHeader,,SalesOrderNumber,String,False,,,,,
SalesOrderHeader,,PurchaseOrderNumber,String,True,,,,,
SalesOrderHeader,,AccountNumber,String,True,,,,,
SalesOrderHeader,,CustomerID,INTEGER,False,,,,,
SalesOrderHeader,,ShipToAddressID,INTEGER,True,,,,,
SalesOrderHeader,,BillToAddressID,INTEGER,True,,,,,
SalesOrderHeader,,ShipMethod,String,False,,,,,
SalesOrderHeader,,CreditCardApprovalCode,"VARCHAR(15) COLLATE ""SQL_Latin1_General_CP1_CI_AS""",True,,,,,
SalesOrderHeader,,SubTotal,MONEY,False,,,,,
SalesOrderHeader,,TaxAmt,MONEY,False,,,,,
SalesOrderHeader,,Freight,MONEY,False,,,,,
SalesOrderHeader,,TotalDue,MONEY,False,,,,,
SalesOrderHeader,,Comment,String,True,,,,,
SalesOrderHeader,,rowguid,UNIQUEIDENTIFIER,False,,,,,
SalesOrderHeader,,ModifiedDate,DATETIME,False,,,,,
